target,ref,tcr_concat,tcr_concat_cov
6ZKW,6P64,35.45454545454545,0.9818181818181818
6ZKW,6Q3S,90.9090909090909,0.990909090909091
6ZKW,6R2L,40.09216589861751,0.9590909090909091
6ZKW,6RP9,38.63636363636363,0.9775784753363229
6ZKW,6RPA,38.18181818181818,0.96
6ZKW,6RPB,67.28110599078342,0.9863636363636363
6ZKW,6RSY,29.22374429223744,0.9727272727272728
6ZKW,6TMO,38.888888888888886,0.9772727272727273
6ZKW,6TRO,47.72727272727273,0.990990990990991
6ZKW,6UK2,35.45454545454545,0.9818181818181818
6ZKW,6UK4,35.45454545454545,0.9818181818181818
6ZKW,6ULN,33.48623853211009,0.9772727272727273
6ZKW,6ULR,33.789954337899545,0.9818181818181818
6ZKW,6UON,52.534562211981566,0.9772727272727273
6ZKW,6UZ1,64.38356164383562,0.9954545454545455
6ZKW,6VM7,45.0,0.990909090909091
6ZKW,6VM8,45.0,0.990909090909091
6ZKW,6VM9,47.706422018348626,0.9818181818181818
6ZKW,6VMA,47.706422018348626,0.9818181818181818
6ZKW,6VMC,47.706422018348626,0.9818181818181818
6ZKW,6VMX,37.72727272727273,0.990909090909091
6ZKW,6VQO,53.18181818181818,0.9774774774774775
6ZKW,6VRM,58.25688073394495,0.990909090909091
6ZKW,6VRN,49.54545454545455,0.9732142857142857
6ZKW,7BYD,33.48623853211009,0.9772727272727273
6ZKW,7JWI,39.726027397260275,0.990909090909091
6ZKW,7JWJ,39.06976744186046,0.9590909090909091
6ZKW,7N1E,35.45454545454545,0.9863636363636363
6ZKW,7N1F,37.327188940092164,0.9636363636363636
6ZKW,7N6E,45.539906103286384,0.9681818181818181
6ZKX,1AO7,67.57990867579909,0.9954545454545455
6ZKX,1BD2,66.5137614678899,0.990909090909091
6ZKX,1FO0,32.72727272727273,0.9684684684684685
6ZKX,1G6R,49.30232558139535,0.9727272727272728
6ZKX,1KJ2,37.27272727272727,0.990990990990991
6ZKX,1LP9,44.74885844748859,0.9863636363636363
6ZKX,1MI5,32.27272727272727,0.9683257918552036
6ZKX,1MWA,49.30232558139535,0.9727272727272728
6ZKX,1NAM,32.72727272727273,0.968609865470852
6ZKX,1OGA,48.095238095238095,0.9545454545454546
6ZKX,1QRN,67.57990867579909,0.9954545454545455
6ZKX,1QSE,67.57990867579909,0.9954545454545455
6ZKX,1QSF,67.57990867579909,0.9954545454545455
6ZKX,2AK4,57.72727272727273,0.9864253393665159
6ZKX,2BNQ,90.9090909090909,0.990909090909091
6ZKX,2BNR,90.9090909090909,0.990909090909091
6ZKX,2CKB,49.30232558139535,0.9727272727272728
6ZKX,2E7L,48.372093023255815,0.9727272727272728
6ZKX,2ESV,33.7962962962963,0.9681818181818181
6ZKX,2F53,88.18181818181819,0.990909090909091
6ZKX,2F54,89.0909090909091,0.990909090909091
6ZKX,2GJ6,67.57990867579909,0.9954545454545455
6ZKX,2J8U,44.74885844748859,0.9863636363636363
