step,sigma,n_structures,ca_rmsd_to_final_mean,ca_rmsd_to_final_median,ca_rmsd_to_final_p90,ca_rmsd_to_native_mean,ca_rmsd_step_delta_mean
153,1.86112,30,1.5184,1.5166,1.5388,3.9158,1.8408
154,1.71255,30,1.3944,1.3939,1.4118,3.8495,1.6996
155,1.57426,30,1.2825,1.2800,1.2997,3.7786,1.5618
156,1.44565,30,1.1731,1.1765,1.1871,3.7274,1.4315
157,1.32616,30,1.0713,1.0701,1.0900,3.6754,1.3109
158,1.21523,30,0.9753,0.9743,0.9907,3.6328,1.2009
159,1.11236,30,0.8821,0.8791,0.8927,3.5927,1.0981
160,1.01704,30,0.7965,0.7984,0.8060,3.5576,1.0088
161,0.928804,30,0.6931,0.6946,0.7015,3.5148,0.1037
162,0.847218,30,0.6019,0.6032,0.6094,3.4807,0.0914
163,0.771854,30,0.5218,0.5229,0.5284,3.4537,0.0805
164,0.702309,30,0.4514,0.4523,0.4572,3.4325,0.0707
165,0.638207,30,0.3897,0.3904,0.3948,3.4161,0.0620
166,0.579186,30,0.3357,0.3363,0.3403,3.4034,0.0542
167,0.524908,30,0.2886,0.2891,0.2927,3.3938,0.0474
168,0.475048,30,0.2476,0.2479,0.2512,3.3865,0.0413
169,0.429305,30,0.2120,0.2122,0.2152,3.3809,0.0360
170,0.38739,30,0.1810,0.1811,0.1840,3.3768,0.0312
171,0.349033,30,0.1543,0.1543,0.1569,3.3738,0.0270
172,0.313979,30,0.1313,0.1312,0.1335,3.3716,0.0234
173,0.281986,30,0.1114,0.1114,0.1133,3.3700,0.0202
174,0.252829,30,0.0944,0.0943,0.0961,3.3688,0.0174
175,0.226295,30,0.0798,0.0798,0.0814,3.3679,0.0149
176,0.202186,30,0.0674,0.0674,0.0687,3.3673,0.0128
177,0.180312,30,0.0568,0.0569,0.0580,3.3669,0.0110
178,0.160499,30,0.0478,0.0479,0.0488,3.3666,0.0094
179,0.142582,30,0.0402,0.0403,0.0411,3.3664,0.0080
180,0.126407,30,0.0338,0.0338,0.0345,3.3663,0.0068
181,0.111832,30,0.0284,0.0283,0.0291,3.3662,0.0058
182,0.0987208,30,0.0238,0.0238,0.0247,3.3662,0.0050
183,0.0869503,30,0.0200,0.0199,0.0209,3.3661,0.0043
184,0.0764038,30,0.0168,0.0167,0.0178,3.3661,0.0036
185,0.0669735,30,0.0141,0.0140,0.0151,3.3661,0.0031
186,0.0585587,30,0.0118,0.0118,0.0128,3.3661,0.0027
187,0.0510671,30,0.0099,0.0099,0.0108,3.3662,0.0023
188,0.0444124,30,0.0084,0.0083,0.0091,3.3662,0.0021
189,0.0385154,30,0.0070,0.0070,0.0076,3.3662,0.0018
190,0.0333026,30,0.0059,0.0058,0.0064,3.3662,0.0016
191,0.0287066,30,0.0049,0.0049,0.0054,3.3662,0.0014
192,0.0246654,30,0.0041,0.0041,0.0045,3.3662,0.0013
193,0.021122,30,0.0034,0.0034,0.0037,3.3662,0.0012
194,0.0180242,30,0.0028,0.0028,0.0030,3.3662,0.0011
195,0.0153242,30,0.0023,0.0023,0.0024,3.3663,0.0010
196,0.0129786,30,0.0018,0.0019,0.0019,3.3663,0.0009
197,0.0109477,30,0.0014,0.0014,0.0015,3.3663,0.0009
198,0.00919558,30,0.0011,0.0011,0.0011,3.3663,0.0008
199,0.00768951,30,0.0007,0.0007,0.0007,3.3663,0.0007
200,0.00640001,30,0.0000,0.0000,0.0000,3.3663,0.0007
